Time_s,FrameCount,X_px,Y_px,Amp_X,Freq_Hz,FPS
21.3593,396,470.49302441454904,417.8796711509716,,,32.64
21.3886,397,419.84018619084566,416.26299456943366,,,34.37
21.4281,398,376.8861361361361,413.5337837837838,,,33.80
21.5170,399,357.35093980490126,412.74922674280276,,,31.33
21.5469,400,323.84154929577466,411.10399061032865,505.26232486905843,0.36620219342882165,34.77
21.5829,401,309.1317614424411,410.2283865002312,,,34.79
21.6564,402,296.2895077720207,409.36787564766837,,,32.10
21.7196,403,272.65169874079356,408.32763126633404,,,39.90
21.7686,404,265.34269805112626,407.5218931915971,,,37.96
21.8223,405,264.6943790849673,407.29254901960786,505.26232486905843,0.36620219342882165,35.04
21.8863,406,269.08244994110714,408.73922261484097,,,36.84
21.9274,407,281.7272927689594,409.55511463844795,,,36.95
21.9685,408,281.7272927689594,409.55511463844795,,,34.05
22.0606,409,314.2993000241371,411.18899348298334,,,37.71
22.0939,410,328.40923845193504,412.3131086142322,505.26232486905843,0.36620219342882165,37.73
22.1684,411,345.0791001451379,413.2636671504596,,,34.84
22.2085,412,405.3968120805369,416.1353467561521,,,37.63
22.2477,413,428.4747386759582,417.78687572590013,,,37.04
22.3286,414,452.2419400056069,419.10428931875526,,,34.16
22.3779,415,505.05564182194615,420.569099378882,477.06480558463466,0.36620219342882165,36.41
22.4173,416,561.8888888888889,420.8856368563686,,,36.97
22.4885,417,590.0782828282828,422.0925925925926,,,34.17
22.5358,418,646.6175787728026,421.1900497512438,,,35.78
22.5685,419,702.9021113243762,420.55374280230325,,,36.22
22.6451,420,729.9910514541386,419.77213167146056,416.66769706563997,0.36620219342882165,33.48
22.6886,421,807.059375,416.8149305555555,,,36.10
22.7265,422,829.6694300518135,415.22279792746116,,,36.40
22.7621,423,829.6694300518135,415.22279792746116,,,33.68
22.8454,424,870.6928348909657,412.2803738317757,,,38.28
22.8787,425,906.3515815085158,409.2022506082725,416.66769706563997,0.36620219342882165,37.06
22.9129,426,921.68258178603,408.3041556145005,,,34.19
23.0102,427,945.9201241885407,406.1936212249506,,,38.08
23.0468,428,963.0531361270885,404.3530539578198,,,37.40
23.1366,429,973.8030303030303,403.4199134199134,,,34.53
23.1760,430,975.8073184676958,403.4819897084048,416.66769706563997,0.36620219342882165,37.89
23.2223,431,972.2688796680497,403.5385892116183,,,36.64
23.2640,432,972.2688796680497,403.5385892116183,,,33.93
23.3358,433,960.0822063113233,404.10342084327766,,,35.07
23.3675,434,941.922913343966,405.5725677830941,,,35.68
23.4019,435,941.922913343966,405.5725677830941,416.66769706563997,0.36620219342882165,33.02
23.4890,436,898.4578345304602,409.1420590582602,,,36.49
23.5260,437,880.7750138197899,410.7891100055279,,,36.02
23.5703,438,862.5870917573873,411.91342664593054,,,33.28
23.6488,439,770.2287694974003,416.1993067590988,,,36.15
23.6892,440,770.2287694974003,416.1993067590988,416.66769706563997,0.3678435820042914,35.78
23.7365,441,743.2428702851886,417.40785035265253,,,33.11
23.8171,442,663.579135700523,418.90421139554087,,,34.04
23.8398,443,635.4626068376068,419.4139957264957,,,35.18
23.9025,444,605.4390385172314,419.6067187952505,,,32.52
23.9760,445,521.0421905560212,419.0620284995809,416.66769706563997,0.3678435820042914,35.97
24.0179,446,495.58406374501993,417.5192563081009,,,35.13
24.0797,447,467.75588491717525,417.6053472827666,,,32.53
24.1287,448,420.1995820271682,415.8111285266458,,,33.19
24.1630,449,420.19958202716816,415.8111285266458,,,34.43
24.2382,450,356.63876543209875,412.15777777777777,416.66769706563997,0.3678435820042914,31.86
24.2982,451,310.242054958184,409.93452807646355,,,32.27
24.3393,452,297.4533333333333,409.21901639344264,,,33.65
24.3992,453,287.17033203967225,409.4857697283312,,,31.16
24.4569,454,268.81976744186045,407.91448643410854,,,60.56
24.4891,455,268.81976744186045,407.91448643410854,416.66769706563997,0.3678435820042914,57.15
24.5365,456,266.3438596491228,407.43684210526317,,,52.38
24.6112,457,270.5785163776493,408.82201348747594,,,50.83
24.6455,458,275.64539990753576,409.30790568654646,,,49.87
24.7126,459,282.54102920723227,409.43787668057485,,,45.72
24.7766,460,302.87527889335115,410.809906291834,416.66769706563997,0.3678435820042914,45.82
24.8172,461,329.77457098283935,412.07410296411854,,,45.16
24.8926,462,345.41263216471896,413.54674457429047,,,41.63
24.9205,463,384.4340507726269,415.71467991169976,,,43.85
24.9563,464,384.4340507726269,415.71467991169976,,,43.20
25.0404,465,455.55808903365903,418.8797502714441,416.66769706563997,0.3678435820042914,39.68
25.0892,466,507.0681244743482,420.6806840482198,,,47.31
25.1228,467,535.1539341917024,421.4560801144492,,,45.21
25.2075,468,590.7027491408935,421.946735395189,,,41.57
25.2483,469,647.7748299319728,421.4989795918367,,,43.40
25.2838,470,676.398310591293,420.9463937621832,416.66769706563997,0.3678435820042914,42.14
25.3365,471,704.2199677938809,420.9230273752013,,,38.84
25.4116,472,782.7299196787149,418.024765729585,,,40.76
25.4441,473,807.3092948717949,416.92435897435894,,,39.77
25.5046,474,830.747381392483,414.996303142329,,,36.65
25.5820,475,871.1455756422455,412.42372343799553,416.66769706563997,0.3678435820042914,37.61
25.6120,476,905.5377777777778,409.8017777777778,,,37.59
25.6604,477,921.5471014492754,408.4267001114827,,,34.70
25.7362,478,946.1089361702127,406.75489361702125,,,35.58
25.7760,479,962.484555466022,404.6937953263497,,,35.56
25.8057,480,968.2373779637378,404.0847977684798,416.66769706563997,0.3678435820042914,32.89
25.9124,481,975.0264462809918,403.4917355371901,,,33.09
25.9483,482,974.3876344086021,403.2991935483871,,,34.18
26.0005,483,970.9243061396131,403.98542192318473,,,31.49
26.0924,484,949.5852585258526,405.49284928492847,,,34.77
26.1305,485,939.5028524857375,406.22656886715566,416.66769706563997,0.3678435820042914,34.24
26.2079,486,939.5028524857375,406.22656886715566,,,31.64
26.2623,487,878.9874895746456,410.37698081734777,,,33.17
26.2961,488,839.4397339983375,413.09116098642284,,,34.14
26.3978,489,794.3279785809906,415.1199464524766,,,31.46
26.4495,490,743.7895732036736,417.14208535926525,416.66769706563997,0.36695407394311325,33.87
26.4949,491,715.9009168884945,417.86690328305235,,,33.09
26.5611,492,688.8091893473808,418.90869183494294,,,30.63
26.6213,493,603.3712190650779,419.52428964252977,,,35.05
26.6626,494,548.3091715976332,419.3414694280079,,,34.54
26.7435,495,519.5638095238095,419.0408163265306,416.66769706563997,0.36695407394311325,31.86
26.7928,496,493.91192954363487,417.6728049105951,,,33.51
