Time_s,FrameCount,X_px,Y_px,Amp_X,Freq_Hz,FPS
22.8285,431,368.5116883116883,413.46926406926406,,,75.21
22.8811,432,412.35511033681763,416.1228222996516,,,68.50
22.9578,433,461.6669451406293,418.2857142857143,,,69.53
22.9935,434,486.6799336650083,419.00469872857934,,,65.34
23.0443,435,514.075408997955,420.16308793456034,418.6886893716538,0.3667383698676438,59.62
23.1327,436,599.2044444444444,421.79170370370366,,,66.06
23.1665,437,655.9327757125154,421.9117100371747,,,62.41
23.2027,438,655.9327757125154,421.9117100371747,,,57.09
23.2797,439,711.6138290932811,420.95368558382256,,,57.67
23.3143,440,766.2623052959501,419.37165109034265,418.6886893716538,0.3667383698676438,55.20
23.3689,441,791.284255599473,418.3129117259552,,,50.51
23.4489,442,838.057405645417,415.53758325404374,,,51.95
23.4863,443,877.2653061224489,413.8739876903142,,,50.09
23.5734,444,877.2653061224489,413.8739876903142,,,45.98
23.6070,445,913.4449013157895,410.5704495614035,418.6886893716538,0.3667383698676438,46.98
23.6374,446,940.6540466392319,408.2888888888889,,,46.37
23.6783,447,959.8011594202899,406.7008695652174,,,42.49
23.7758,448,976.6069207894025,405.0,,,43.82
23.8104,449,978.6430678466077,404.7835880933226,,,43.29
23.8730,450,978.6430678466077,404.7835880933226,418.6886893716538,0.3667383698676438,39.82
23.9483,451,966.7478088775799,405.683347469607,,,39.71
23.9664,452,966.7478088775799,405.683347469607,,,40.20
24.0144,453,950.4761508596782,407.3139212423738,,,37.07
24.0938,454,911.5792905581638,409.8265519040167,,,37.62
24.1279,455,911.5792905581638,409.8265519040167,418.6886893716538,0.3649809298450943,37.92
24.1739,456,894.8209926769732,411.4458909682669,,,35.03
24.2560,457,856.7857905982905,412.8560363247863,,,38.31
24.2923,458,813.0800653594771,415.7431917211329,,,37.63
24.3331,459,787.9096774193548,416.7327188940092,,,34.78
24.4111,460,710.4825628548256,418.9272776426061,418.6886893716538,0.3645617938909017,38.32
24.4469,461,680.066,419.632,,,37.72
24.4942,462,655.4129793510324,419.95398230088495,,,34.83
24.5728,463,569.5099715099715,419.5679875679876,,,53.37
24.6077,464,541.1722817764165,418.8693210821848,,,50.90
24.6857,465,541.1722817764165,418.8693210821848,418.6886893716538,0.3645617938909017,46.57
24.7432,466,460.8314893617021,416.75971631205675,,,50.38
24.7803,467,413.35381464413723,414.74244751664105,,,48.82
24.8697,468,391.9997523526498,413.5911342248638,,,44.80
24.8952,469,335.2871866947763,409.9189505739049,,,46.64
24.9343,470,320.5891472868217,409.1733615221987,418.6886893716538,0.3645617938909017,46.28
24.9680,471,320.5891472868217,409.1733615221987,,,42.55
25.0453,472,294.8771100607697,407.90817015530047,,,44.86
25.0799,473,277.95012582932964,407.2047586364676,,,43.50
25.1138,474,272.9130434782609,406.45458937198066,,,43.85
25.1576,475,272.9130434782609,406.45458937198066,418.6886893716538,0.3645617938909017,40.45
25.2252,476,267.4650558586646,405.86931670563786,,,39.82
25.2531,477,269.66985060004896,406.66666666666663,,,42.13
25.3215,478,273.36489013557735,407.4438990182328,,,38.81
25.3720,479,296.0878243512974,408.6897316478155,,,40.36
25.4086,480,308.3247086247086,409.2869463869464,418.6886893716538,0.3645617938909017,41.83
25.4869,481,308.3247086247086,409.2869463869464,,,38.40
25.5444,482,371.6209200719609,413.23284502698533,,,39.81
25.5783,483,392.73194551529167,414.2667694680031,,,40.48
25.6855,484,413.58268844941244,416.27285755230724,,,37.17
25.7196,485,463.5173071681657,418.46088852548377,418.6886893716538,0.3645617938909017,39.37
25.7651,486,543.4408,420.9981333333333,,,38.40
25.8214,487,543.4408,420.9981333333333,,,35.84
25.8621,488,571.0507369614512,421.16099773242627,,,36.55
25.9035,489,657.0946502057614,421.1628943758573,,,35.77
25.9398,490,657.0946502057614,421.1628943758573,418.6886893716538,0.3645617938909017,33.12
26.0217,491,739.8871069182389,420.3141509433962,,,34.27
26.0622,492,766.2927241962775,419.43282571912016,,,34.43
26.1413,493,815.7745940783191,417.4291626870423,,,31.98
26.1734,494,859.4358507734304,414.9350925083409,,,35.07
26.2089,495,877.7507673419275,413.1147943523634,418.6886893716538,0.3645617938909017,34.90
26.2605,496,877.7507673419275,413.1147943523634,,,32.19
26.3442,497,940.2369376920927,408.378597373568,,,37.28
26.3822,498,950.5962318840579,407.2602898550725,,,36.56
26.4445,499,959.3779227841218,406.5304513322458,,,33.71
26.5086,500,975.2620232172471,405.0179657269209,418.6886893716538,0.3645617938909017,37.75
26.5424,501,977.0676526978909,404.8241577649959,,,37.23
26.5901,502,977.4766995614035,404.80729166666663,,,34.35
26.6694,503,965.49921875,405.84348958333334,,,130.68
